teamid,league
1,LCK
2,EULCS
3,LMS
4,LMS
5,LMS
6,LCK
7,LPL
8,LPL
9,LPL
10,EULCS
11,LCK
12,LPL
13,NACS
14,LPL
15,CBLoL
16,LPL
17,LCK
18,NACS
19,CBLoL
20,LPL
21,LPL
22,LPL
23,NALCS
24,LCK
25,LPL
26,LCK
27,LCK
28,LPL
29,LPL
30,NALCS
31,LPL
32,LPL
33,LMS
34,NACS
35,LPL
36,NALCS
37,MSI
38,LPL
39,LPL
40,MSI
41,EULCS
42,MSI
43,NALCS
44,LCK
45,LPL
46,MSI
47,MSI
48,NALCS
49,MSI
50,MSI
51,MSI
52,LCK
53,LMS
54,LMS
55,MSI
56,LMS
57,NALCS
58,LCK
59,NALCS
60,EULCS
61,EUCS
62,EULCS
63,CBLoL
64,EULCS
65,MSI
66,LMS
67,MSI
68,EULCS
69,LPL
71,EUCS
72,CBLoL
73,MSI
74,NACS
75,LMS
76,LCK
77,NAAc
78,EULCS
79,LMS
80,NAAc
81,NAAc
82,LMS
83,LMS
84,NAAc
85,NAAc
87,LPL
88,NAAc
89,CBLoL
92,NALCS
93,NAAc
94,LPL
95,MSI
96,LMS
97,LPL
98,LCK
100,LCK
101,CBLoL
103,EULCS
104,CBLoL
105,EUCS
106,LCK
107,LCK
109,LPL
111,MSI
112,CBLoL
113,LCK
114,LMS
116,NALCS
117,NALCS
118,EUCS
119,EULCS
120,EUCS
121,NALCS
122,EULCS
123,NALCS
124,NALCS
125,LPL
127,EULCS
128,NALCS
129,LPL
131,LCK
132,LMS
133,CBLoL
134,EUCS
135,NALCS
136,NALCS
137,EUCS
138,EULCS
139,NALCS
140,CBLoL
141,LPL
143,CBLoL
144,LCK
145,EULCS
146,LMS
147,MSI
148,EUCS
149,CBLoL
150,CBLoL
151,TCL
152,TCL
153,EULCS
154,EULCS
155,LMS
156,LPL
157,TCL
158,TCL
159,LCK
160,TCL
161,TCL
162,LCK
163,EUCS
164,TCL
165,LPL
167,EULCS
168,LPL
169,MSI
171,CBLoL
172,LCK
173,LMS
174,LMS
175,CBLoL
176,NA PR
177,EUCS
178,NACS
179,NA PR
180,NALCS
181,LCK
182,LMS
183,CBLoL
184,MSI
185,LPL
186,CBLOL
188,NACS
189,EULCS
190,EULCS
191,LPL
192,MSI
193,EULCS
194,CBLoL
195,LMS
196,EUCS
197,WC
198,LPL
199,NACS
200,LMS
202,CBLoL
203,CBLoL
204,VCS
205,xxx
