team,teamid
100 Thieves,1
100 Thieves Academy,2
17 Academy,3
AHQ Fighter,4
AHQ e-Sports Club,5
Afreeca Freecs,6
Albus NoX Luna,7
Apex,8
Apex Pride,9
Ascension Gaming,10
BBQ Olivers,11
Besiktas,12
Big Gods Jackals,13
Big Gods eSports,14
Bilibili Gaming,15
Bursaspor Esports,16
CJ Entus,17
CLG Academy,18
CNB e-Sports Club,19
Chiefs eSports Club,20
Chungcheongnam,21
Cilekler,22
Cloud9,23
Cloud9 Academy,24
Cloud9 Challenger,25
Clutch Gaming,26
Clutch Gaming Academy,27
Copenhagen Wolves,28
Cougar eSports,29
Counter Logic Gaming,30
Crew e-Sports Club,31
DAN Gaming,32
Dark Passage,33
Delta Fox,34
DetonatioN FocusMe,35
Dignitas,36
Dire Wolves,37
Dream Team,38
EDward Gaming,39
ESC Ever,40
EVOS Esports,41
Eanix,42
Echo Fox,43
Echo Fox Academy,44
Edward Gaming,45
Elements,46
Ember,47
EnVyUs,48
Enemy,49
Energy Pacemaker.All,50
Epsilon Esports,51
Ever8 Winners,52
Fenerbahce Esports,53
Fire Ball,54
Flamengo eSports,55
Flash Wolves,56
FlyQuest,57
FlyQuest Academy,58
Flyquest,59
Fnatic,60
Fnatic Academy,61
Funplus Phoenix,62
G-Rex,63
G2 Esports,64
GIGABYTE Marines,65
Galakticos,66
Galatasaray Esports,67
Gambit Esports,68
Game Talents,69
Gen.G,162
Giants,71
Giants Gaming,72
Gigabyte Marines,73
Gold Coin United,74
Golden Guardians,75
Golden Guardians Academy,76
Griffin,77
H2K,78
HWA Gaming,79
Hanwha Life Esports,80
Hard Random,81
Hong Kong Attitude,82
Hong Kong Esports,83
Huma,84
Hyper Youth Gaming,85
I MAY,87
I May,87
IDM Gaming,88
INTZ,89
INTZ e-Sports,89
INTZ e-Sports Club,89
Immortals,92
Inspire eSports,93
Invictus Gaming,94
Isurus Gaming,95
J Team,96
JD Gaming,97
Jin Air Green Wings,98
KSV Esports,162
KT Rolster,100
KaBuM e-Sports,101
KaBuM eSports,101
Kaos Latin Gamers,103
Keyd Stars,104
Kinguin,105
Kingzone DragonX,106
Kongdoo Mongster,107
Kongdoo Monster,107
LGD Gaming,109
Longzhu Gaming,106
Lyon Gaming,111
MAD Team,112
MVP,113
Machi 17,114
Machi17,114
Masters 3,116
Midnight Sun e-Sports,117
Millenium,118
Misfits,119
Misfits Academy,120
Mousesports,121
Mysterious Monkeys,122
NRG Esports,123
Nerv,124
NewBee,125
Newbee,125
Ninjas in Pyjamas,127
Nova,128
OMG,129
Oh My God,129
OpTic Academy,131
OpTic Gaming,132
Operation Kino,133
Origen,134
Oyunhizmetleri,135
P3P eSports,136
Paris Saint-Germain,137
Pentagram,138
Phoenix1,139
ProGaming Esports,140
QG Reapers,141
Qiao Gu Reapers,141
RED Canids,143
ROX Tigers,144
Rainbow7,145
Raise Gaming,146
Rampage,147
Red Bulls,148
Red Canids,149
Remo Brave eSports,150
Renegades,151
RisingStar Gaming,152
Roccat,153
Rogue Warriors,154
Royal Bandits e-sports,155
Royal Never Give Up,156
SBENU Sonicboom,157
SK Gaming,158
SK Telecom T1,159
Saigon Jokers,160
Saint Gaming,161
Samsung Galaxy,162
Schalke 04,163
Seoul City,164
Snake Esports,165
Snake eSports,165
Splyce,167
Suning Gaming,168
SuperMassive,169
SuperMassive eSports,169
T Show E-Sports,171
TSM Academy,172
Taipei Assassins,173
Team AURORA,174
Team Afro,175
Team Dragon Knights,176
Team Forge,177
Team Gates,178
Team Impulse,179
Team Liquid,180
Team Liquid Academy,181
Team Mist,182
Team One e-Sports,183
Team SoloMid,184
Team WE,185
Team oNe Esports,186
Team oNe e-Sports,186
Tempo Storm,188
Topsports Gaming,189
Unicorns of Love,190
Vici Gaming,191
Virtus.pro,192
Vitality,193
Vivo Keyd,194
Wayi Spider,195
Wind and Rain,196
Young Generation,197
YouthCREW,198
eUnited,199
eXtreme Gamers,200
eXtreme Gamers eSports Club,200
g3nerationX,202
paiN Gaming,203
Phong Vu Buffalo,204
Infinity eSports,205
